39;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-05 08:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
40;4th day of competition;4º Día de la Competencia;4º dia de competição;2014-04-05 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
41;CIS Final Assessment;CIS Evaluación Final;Avaliação CIS Final;2014-04-05 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
42;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-04-05 10:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
43;Team Leaders Meeting;Reunión de los Jefes de Equipo;Reunião de Chefes de Equipe;2014-04-05 13:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
44;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-05 15:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
45;Sorting of tools;Embalaje de las Herramientas;Organização de ferramental;2014-04-05 15:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
46;Free Day (C, TL);Día Libre  (C, TL);Dia Livre  (C, TL);2014-04-06 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
47;Competition closure;Finalización de la Competencia;Finalização da competição;2014-04-06 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
48;Technical Committee meeting;Reunión del Comité Técnico;Reunião do Comitê Técnico;2014-04-06 10:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
49;General Assembly;Asamblea General;Assembléia Geral;2014-04-06 11:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
50;Closing Ceremony;Ceremonia de Clausura;Cerimônia de Encerramento;2014-04-06 18:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
51;Return of Delegations;Retorno de los Equipos;Retorno das Delegações;2014-04-07 07:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
52;WSA Ordination;WSA Ordenación;WSA Ordenação;2014-04-07 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
